y+,u_mean,uu+,ww+,y+,vv+,-uv+
0.153945,0.153892,0.00410213,0.00172765,0.307891,0.0000012763,0.0000311086
0.465827,0.465562,0.0372747,0.0143198,0.623764,0.0000187046,0.0002618
0.786334,0.785677,0.105683,0.0376867,0.948904,0.0000897584,0.000934969
1.11676,1.11537,0.212148,0.070357,1.28462,0.00027177,0.00234588
1.45842,1.45568,0.359849,0.111056,1.63222,0.000639221,0.00484219
1.81264,1.80749,0.552004,0.158653,1.99305,0.00128175,0.00881828
2.18076,2.17151,0.791484,0.212121,2.36846,0.00230254,0.0147029
2.56414,2.54822,1.08035,0.270525,2.75981,0.00381682,0.0229404
2.96413,2.9378,1.41935,0.333007,3.16846,0.00595043,0.0339654
3.38212,3.34013,1.8075,0.398786,3.59579,0.00883814,0.0481733
3.81947,3.75468,2.24168,0.467162,4.04316,0.0126219,0.0658886
4.27757,4.18056,2.71644,0.53752,4.51197,0.017449,0.0873341
4.75778,4.61647,3.22405,0.609334,5.00358,0.0234696,0.112605
5.26148,5.06071,3.75469,0.682166,5.51938,0.0308348,0.14165
5.79005,5.51124,4.29697,0.755658,6.06072,0.0396941,0.174266
6.34484,5.96569,4.83857,0.829523,6.62896,0.0501922,0.210098
6.92721,6.42151,5.36695,0.903527,7.22546,0.0624668,0.24866
7.53851,6.87601,5.87019,0.977464,7.85156,0.0766449,0.289357
8.18007,7.32645,6.33762,1.05114,8.50859,0.0928387,0.331525
8.85321,7.77019,6.76038,1.12435,9.19784,0.111142,0.374463
9.55923,8.20477,7.13176,1.19686,9.92063,0.131626,0.417478
10.2994,8.62795,7.44738,1.26839,10.6782,0.154332,0.45992
11.075,9.03784,7.70508,1.33865,11.4719,0.179272,0.501208
11.8874,9.43288,7.90479,1.40728,12.3028,0.206419,0.540853
12.7376,9.81188,8.04815,1.47393,13.1723,0.23571,0.578469
13.6269,10.174,8.13822,1.53822,14.0815,0.26704,0.613776
14.5565,10.5189,8.17909,1.59981,15.0315,0.300265,0.646593
15.5276,10.8463,8.17555,1.65836,16.0236,0.335203,0.67683
16.5412,11.1563,8.13277,1.71358,17.0588,0.37164,0.704473
17.5985,11.4493,8.05607,1.76525,18.1382,0.409333,0.729568
18.7005,11.7258,7.95074,1.8132,19.2629,0.448015,0.752208
19.8484,11.9864,7.82186,1.85733,20.4339,0.487408,0.77252
21.043,12.2319,7.67421,1.89759,21.6522,0.527225,0.790649
22.2855,12.4632,7.51222,1.93401,22.9187,0.567176,0.806752
