y+,u_mean,uu+,ww+,y+,vv+,-uv+,-uv/urmsvrms,nu_t+
2.00568E-01,2.01039E-01,5.30611E-03,1.54847E-03,4.01136E-01,1.91802E-06,4.89407E-05,2.39383E-01,4.89390E-05
6.14414E-01,6.14899E-01,4.94620E-02,1.25404E-02,8.27693E-01,2.86340E-05,4.33776E-04,2.68708E-01,4.34959E-04
1.05445E+00,1.05374E+00,1.45128E-01,3.31586E-02,1.28122E+00,1.42218E-04,1.62600E-03,2.93309E-01,1.63654E-03
1.52227E+00,1.51855E+00,3.01133E-01,6.22227E-02,1.76333E+00,4.45343E-04,4.26359E-03,3.17100E-01,4.31431E-03
2.01955E+00,2.00998E+00,5.26372E-01,9.84787E-02,2.27577E+00,1.07916E-03,9.14668E-03,3.40434E-01,9.32854E-03
2.54805E+00,2.52817E+00,8.28523E-01,1.40636E-01,2.82032E+00,2.21923E-03,1.71987E-02,3.63038E-01,1.77414E-02
3.10962E+00,3.07256E+00,1.21231E+00,1.87426E-01,3.39891E+00,4.06990E-03,2.93879E-02,3.84479E-01,3.08054E-02
3.70622E+00,3.64172E+00,1.67757E+00,2.37669E-01,4.01353E+00,6.85768E-03,4.66146E-02,4.04326E-01,4.99455E-02
4.33992E+00,4.23315E+00,2.21767E+00,2.90346E-01,4.66630E+00,1.08243E-02,6.95805E-02,4.22202E-01,7.67433E-02
5.01286E+00,4.84329E+00,2.81869E+00,3.44641E-01,5.35942E+00,1.62202E-02,9.86639E-02,4.37809E-01,1.12931E-01
5.72732E+00,5.46748E+00,3.45983E+00,3.99950E-01,6.09522E+00,2.32974E-02,1.33828E-01,4.50948E-01,1.60402E-01
6.48567E+00,6.10020E+00,4.11510E+00,4.55869E-01,6.87612E+00,3.23041E-02,1.74583E-01,4.61510E-01,2.21232E-01
7.29039E+00,6.73523E+00,4.75604E+00,5.12126E-01,7.70467E+00,4.34785E-02,2.20010E-01,4.69480E-01,2.97716E-01
8.14410E+00,7.36612E+00,5.35482E+00,5.68518E-01,8.58353E+00,5.70416E-02,2.68852E-01,4.74932E-01,3.92403E-01
9.04950E+00,7.98644E+00,5.88720E+00,6.24830E-01,9.51547E+00,7.31894E-02,3.19636E-01,4.78027E-01,5.08132E-01
1.00094E+01,8.59028E+00,6.33458E+00,6.80782E-01,1.05034E+01,9.20807E-02,3.70826E-01,4.79003E-01,6.48053E-01
1.10268E+01,9.17245E+00,6.68520E+00,7.35986E-01,1.15503E+01,1.13826E-01,4.20960E-01,4.78163E-01,8.15635E-01
1.21048E+01,9.72879E+00,6.93411E+00,7.89956E-01,1.26593E+01,1.38471E-01,4.68768E-01,4.75859E-01,1.01468E+00
1.32464E+01,1.02562E+01,7.08244E+00,8.42115E-01,1.38336E+01,1.65986E-01,5.13239E-01,4.72467E-01,1.24926E+00
1.44551E+01,1.07528E+01,7.13611E+00,8.91837E-01,1.50766E+01,1.96254E-01,5.53654E-01,4.68363E-01,1.52372E+00
1.57342E+01,1.12175E+01,7.10439E+00,9.38486E-01,1.63918E+01,2.29059E-01,5.89581E-01,4.63908E-01,1.84263E+00
1.70873E+01,1.16505E+01,6.99860E+00,9.81465E-01,1.77827E+01,2.64093E-01,6.20826E-01,4.59418E-01,2.21060E+00
1.85178E+01,1.20523E+01,6.83106E+00,1.02026E+00,1.92530E+01,3.00953E-01,6.47395E-01,4.55161E-01,2.63221E+00
2.00297E+01,1.24241E+01,6.61418E+00,1.05451E+00,2.08063E+01,3.39155E-01,6.69436E-01,4.51341E-01,3.11177E+00
2.16265E+01,1.27676E+01,6.36004E+00,1.08401E+00,2.24467E+01,3.78153E-01,6.87185E-01,4.48099E-01,3.65289E+00
2.33122E+01,1.30847E+01,6.07990E+00,1.10874E+00,2.41778E+01,4.17352E-01,7.00931E-01,4.45514E-01,4.25808E+00
2.50908E+01,1.33775E+01,5.78388E+00,1.12891E+00,2.60038E+01,4.56137E-01,7.10978E-01,4.43613E-01,4.92789E+00
2.69661E+01,1.36481E+01,5.48074E+00,1.14482E+00,2.79285E+01,4.93888E-01,7.17626E-01,4.42380E-01,5.65982E+00
2.89423E+01,1.38986E+01,5.17773E+00,1.15691E+00,2.99560E+01,5.29988E-01,7.21159E-01,4.41773E-01,6.44730E+00
3.10232E+01,1.41314E+01,4.88051E+00,1.16560E+00,3.20903E+01,5.63858E-01,7.21848E-01,4.41736E-01,7.27889E+00
3.32128E+01,1.43485E+01,4.59333E+00,1.17121E+00,3.43354E+01,5.94962E-01,7.19950E-01,4.42202E-01,8.13880E+00
3.55152E+01,1.45523E+01,4.31932E+00,1.17394E+00,3.66951E+01,6.22834E-01,7.15716E-01,4.43100E-01,9.00828E+00
3.79343E+01,1.47444E+01,4.06059E+00,1.17392E+00,3.91735E+01,6.47096E-01,7.09377E-01,4.44359E-01,9.86713E+00
4.04738E+01,1.49270E+01,3.81806E+00,1.17115E+00,4.17741E+01,6.67488E-01,7.01131E-01,4.45906E-01,1.06933E+01
4.31374E+01,1.51016E+01,3.59163E+00,1.16549E+00,4.45007E+01,6.83872E-01,6.91145E-01,4.47671E-01,1.14646E+01
4.59286E+01,1.52699E+01,3.38065E+00,1.15674E+00,4.73566E+01,6.96211E-01,6.79580E-01,4.49590E-01,1.21642E+01
4.88509E+01,1.54332E+01,3.18433E+00,1.14470E+00,5.03451E+01,7.04541E-01,6.66586E-01,4.51592E-01,1.27838E+01
5.19071E+01,1.55925E+01,3.00207E+00,1.12923E+00,5.34691E+01,7.08962E-01,6.52325E-01,4.53599E-01,1.33306E+01
5.51003E+01,1.57488E+01,2.83347E+00,1.11025E+00,5.67314E+01,7.09662E-01,6.36932E-01,4.55517E-01,1.38183E+01
5.84327E+01,1.59024E+01,2.67767E+00,1.08779E+00,6.01341E+01,7.06931E-01,6.20441E-01,4.57227E-01,1.42386E+01
6.19066E+01,1.60538E+01,2.53277E+00,1.06196E+00,6.36792E+01,7.01099E-01,6.02847E-01,4.58632E-01,1.45707E+01
6.55237E+01,1.62034E+01,2.39690E+00,1.03309E+00,6.73682E+01,6.92474E-01,5.84205E-01,4.59664E-01,1.48164E+01
6.92852E+01,1.63518E+01,2.26924E+00,1.00172E+00,7.12022E+01,6.81359E-01,5.64604E-01,4.60212E-01,1.49947E+01
7.31918E+01,1.64989E+01,2.14956E+00,9.68145E-01,7.51815E+01,6.68058E-01,5.44101E-01,4.60126E-01,1.51183E+01
