y+,u_mean,uu+,ww+,y+,vv+,-uv+,-uv/urmsvrms,nu_t+,Diss.
0.152332,0.15172,0.0037666,0.00155071,0.304663,0.00000111429,0.0000282497,0.215844,0.0000283781,-0.322809
0.465121,0.463094,0.0348197,0.0129202,0.625579,0.0000169712,0.000247248,0.23755,0.000248552,-0.320198
0.796417,0.792652,0.101571,0.0348177,0.967256,0.0000862295,0.000926842,0.256553,0.000932873,-0.318897
1.15078,1.14472,0.211039,0.0668728,1.3343,0.000278941,0.00246057,0.275499,0.00248186,-0.317861
1.53286,1.52352,0.372258,0.108826,1.73141,0.000704829,0.00540783,0.294765,0.00547439,-0.316233
1.94735,1.93298,0.595917,0.160381,2.1633,0.00152298,0.0105296,0.314253,0.0107224,-0.313058
2.39902,2.37653,0.893456,0.221083,2.63475,0.00295129,0.0188026,0.333667,0.0193246,-0.30742
2.89262,2.8568,1.27542,0.290254,3.1505,0.00527364,0.0313901,0.352595,0.0327135,-0.298694
3.43289,3.37521,1.74898,0.366979,3.71528,0.00884294,0.049552,0.370567,0.0526905,-0.286846
4.02453,3.93161,2.31493,0.450158,4.33378,0.0140782,0.0744843,0.387103,0.0814523,-0.272618
4.67219,4.52386,2.96482,0.538601,5.0106,0.0214554,0.107102,0.401755,0.121615,-0.257463
5.38043,5.14759,3.67918,0.631148,5.75026,0.031491,0.147811,0.414149,0.176243,-0.243163
6.15372,5.79612,4.42802,0.726755,6.55717,0.0447213,0.19632,0.424007,0.248899,-0.231257
6.9964,6.46079,5.17385,0.824523,7.43563,0.0616757,0.251576,0.431176,0.343702,-0.222539
7.9127,7.13149,5.8767,0.923644,8.38978,0.0828462,0.311831,0.435644,0.465398,-0.216839
8.9067,7.7975,6.50009,1.0233,9.42363,0.108652,0.374864,0.437547,0.619408,-0.213194
9.98233,8.44846,7.01593,1.12256,10.541,0.139399,0.438282,0.437165,0.811865,-0.210278
11.1433,9.07523,7.40741,1.22026,11.7457,0.175238,0.499838,0.434902,1.04958,-0.206865
12.3933,9.67052,7.66942,1.31508,13.041,0.216126,0.557682,0.43124,1.34,-0.20213
13.7357,10.2292,7.8069,1.40559,14.4305,0.261797,0.610503,0.426692,1.69106,-0.195724
15.1738,10.7483,7.83219,1.49042,15.9171,0.311759,0.65755,0.421749,2.11099,-0.187687
16.7105,11.227,7.76203,1.56836,17.5038,0.365305,0.698564,0.416831,2.60807,-0.178284
18.3486,11.6658,7.61509,1.63856,19.1935,0.42156,0.733661,0.412271,3.19023,-0.167869
20.091,12.0665,7.40999,1.70048,20.9885,0.479532,0.763208,0.408296,3.86453,-0.1568
21.9399,12.4316,7.16401,1.7539,22.8913,0.538183,0.787713,0.405044,4.63653,-0.145396
23.8976,12.7642,6.89232,1.79894,24.9039,0.596494,0.807739,0.40257,5.50943,-0.133941
25.9662,13.0675,6.60764,1.83591,27.0284,0.653512,0.823858,0.40087,6.48352,-0.122678
28.1474,13.3447,6.32025,1.86527,29.2664,0.708387,0.836613,0.3999,7.55599,-0.111802
30.4429,13.5988,6.03818,1.88754,31.6193,0.760409,0.846499,0.399581,8.72026,-0.10146
32.854,13.8329,5.76729,1.90334,34.0886,0.809017,0.853944,0.399817,9.96534,-0.0917657
35.382,14.0495,5.51151,1.91331,36.6753,0.853803,0.85932,0.400511,11.2764,-0.0828047
38.0278,14.2511,5.27314,1.91802,39.3802,0.894507,0.862948,0.401568,12.6358,-0.0746239
40.7922,14.4399,5.0532,1.91804,42.2041,0.930995,0.865099,0.402904,14.0242,-0.0672332
43.6758,14.6178,4.85185,1.91393,45.1474,0.963252,0.866004,0.404439,15.423,-0.06061
46.6789,14.7864,4.66872,1.90623,48.2104,0.991371,0.86586,0.406105,16.8161,-0.0547096
49.8018,14.9472,4.50295,1.89537,51.3932,1.01552,0.864829,0.407839,18.1901,-0.0494784
53.0444,15.1014,4.35339,1.88171,54.6956,1.03594,0.863046,0.409591,19.5365,-0.0448565
56.4066,15.2499,4.21878,1.86554,58.1175,1.05288,0.860624,0.411323,20.8512,-0.0407783
59.8879,15.3936,4.09763,1.84721,61.6583,1.06665,0.857649,0.413006,22.1299,-0.0371843
63.4878,15.5331,3.98838,1.82705,65.3173,1.07755,0.854192,0.414618,23.3731,-0.0340188
67.2056,15.669,3.88978,1.8055,69.0939,1.08585,0.850322,0.416145,24.5907,-0.0312194
