      y+          U+           u'+            v'+           w'+           u'v'+
0.000000e+00 0.000000e+00 2.632981e-04 0.000000e+00 3.307637e-04 0.000000e+00
3.143681e-01 3.144120e-01 1.387964e-01 1.597273e-03 9.054154e-02 -3.552350e-05
7.496643e-01 7.496961e-01 3.296465e-01 7.053042e-03 2.035221e-01 -4.945921e-04
1.302095e+00 1.301312e+00 5.699363e-01 1.899207e-02 3.315311e-01 -2.668708e-03
1.968065e+00 1.963269e+00 8.549929e-01 3.900300e-02 4.655855e-01 -9.319093e-03
2.744162e+00 2.725978e+00 1.175232e+00 6.766629e-02 5.984050e-01 -2.475990e-02
3.627156e+00 3.573911e+00 1.514018e+00 1.046261e-01 7.246612e-01 -5.383175e-02
4.613980e+00 4.484234e+00 1.849169e+00 1.488593e-01 8.412952e-01 -9.993640e-02
5.701720e+00 5.427853e+00 2.158069e+00 1.989998e-01 9.471791e-01 -1.632738e-01
6.887596e+00 6.372955e+00 2.423170e+00 2.535943e-01 1.042467e+00 -2.404587e-01
8.168964e+00 7.289745e+00 2.635065e+00 3.112497e-01 1.127876e+00 -3.256432e-01
9.543306e+00 8.154473e+00 2.792389e+00 3.706779e-01 1.204172e+00 -4.123722e-01
1.100822e+01 8.951503e+00 2.899636e+00 4.306987e-01 1.271967e+00 -4.951767e-01
1.256141e+01 9.673267e+00 2.964438e+00 4.902403e-01 1.331733e+00 -5.703963e-01
1.420069e+01 1.031878e+01 2.995325e+00 5.483582e-01 1.383904e+00 -6.362250e-01
1.592396e+01 1.089160e+01 3.000358e+00 6.042603e-01 1.428960e+00 -6.923127e-01
1.772920e+01 1.139791e+01 2.986482e+00 6.573281e-01 1.467456e+00 -7.392306e-01
1.961451e+01 1.184503e+01 2.959376e+00 7.071205e-01 1.500011e+00 -7.780169e-01
2.157803e+01 1.224043e+01 2.923526e+00 7.533638e-01 1.527282e+00 -8.098566e-01
2.361801e+01 1.259118e+01 2.882393e+00 7.959293e-01 1.549924e+00 -8.359012e-01
2.573275e+01 1.290366e+01 2.838599e+00 8.348068e-01 1.568564e+00 -8.571764e-01
2.792061e+01 1.318349e+01 2.794086e+00 8.700768e-01 1.583774e+00 -8.745566e-01
3.018004e+01 1.343556e+01 2.750258e+00 9.018856e-01 1.596055e+00 -8.887648e-01
3.250954e+01 1.366403e+01 2.708093e+00 9.304231e-01 1.605836e+00 -9.003917e-01
3.490765e+01 1.387248e+01 2.668245e+00 9.559058e-01 1.613479e+00 -9.099171e-01
3.737299e+01 1.406392e+01 2.631118e+00 9.785632e-01 1.619290e+00 -9.177307e-01
3.990421e+01 1.424091e+01 2.596923e+00 9.986288e-01 1.623525e+00 -9.241479e-01
4.250003e+01 1.440560e+01 2.565728e+00 1.016333e+00 1.626401e+00 -9.294260e-01
4.515918e+01 1.455981e+01 2.537497e+00 1.031899e+00 1.628101e+00 -9.337733e-01
4.788048e+01 1.470505e+01 2.512119e+00 1.045538e+00 1.628784e+00 -9.373592e-01
5.066277e+01 1.484256e+01 2.489434e+00 1.057450e+00 1.628590e+00 -9.403208e-01
5.350492e+01 1.497341e+01 2.469253e+00 1.067820e+00 1.627638e+00 -9.427690e-01
5.640586e+01 1.509846e+01 2.451368e+00 1.076819e+00 1.626035e+00 -9.447936e-01
5.936453e+01 1.521843e+01 2.435572e+00 1.084605e+00 1.623873e+00 -9.464677e-01
6.237992e+01 1.533394e+01 2.421657e+00 1.091321e+00 1.621233e+00 -9.478502e-01
6.545106e+01 1.544548e+01 2.409427e+00 1.097094e+00 1.618193e+00 -9.489892e-01
6.857700e+01 1.555346e+01 2.398693e+00 1.102041e+00 1.614820e+00 -9.499226e-01
