y+ u_mean uu+ ww+ y+ vv+ -uv+
0.153945e+00 0.153892e+00 0.410213e-02 0.172765e-02 0.307891e+00 0.127630e-05 0.311086e-04
0.465827e+00 0.465562e+00 0.372747e-01 0.143198e-01 0.623764e+00 0.187046e-04 0.261800e-03
0.786334e+00 0.785677e+00 0.105683e+00 0.376867e-01 0.948904e+00 0.897584e-04 0.934969e-03
0.111676e+01 0.111537e+01 0.212148e+00 0.703570e-01 0.128462e+01 0.271770e-03 0.234588e-02
0.145842e+01 0.145568e+01 0.359849e+00 0.111056e+00 0.163222e+01 0.639221e-03 0.484219e-02
0.181264e+01 0.180749e+01 0.552004e+00 0.158653e+00 0.199305e+01 0.128175e-02 0.881828e-02
0.218076e+01 0.217151e+01 0.791484e+00 0.212121e+00 0.236846e+01 0.230254e-02 0.147029e-01
0.256414e+01 0.254822e+01 0.108035e+01 0.270525e+00 0.275981e+01 0.381682e-02 0.229404e-01
0.296413e+01 0.293780e+01 0.141935e+01 0.333007e+00 0.316846e+01 0.595043e-02 0.339654e-01
0.338212e+01 0.334013e+01 0.180750e+01 0.398786e+00 0.359579e+01 0.883814e-02 0.481733e-01
0.381947e+01 0.375468e+01 0.224168e+01 0.467162e+00 0.404316e+01 0.126219e-01 0.658886e-01
0.427757e+01 0.418056e+01 0.271644e+01 0.537520e+00 0.451197e+01 0.174490e-01 0.873341e-01
0.475778e+01 0.461647e+01 0.322405e+01 0.609334e+00 0.500358e+01 0.234696e-01 0.112605e+00
0.526148e+01 0.506071e+01 0.375469e+01 0.682166e+00 0.551938e+01 0.308348e-01 0.141650e+00
0.579005e+01 0.551124e+01 0.429697e+01 0.755658e+00 0.606072e+01 0.396941e-01 0.174266e+00
0.634484e+01 0.596569e+01 0.483857e+01 0.829523e+00 0.662896e+01 0.501922e-01 0.210098e+00
0.692721e+01 0.642151e+01 0.536695e+01 0.903527e+00 0.722546e+01 0.624668e-01 0.248660e+00
0.753851e+01 0.687601e+01 0.587019e+01 0.977464e+00 0.785156e+01 0.766449e-01 0.289357e+00
0.818007e+01 0.732645e+01 0.633762e+01 0.105114e+01 0.850859e+01 0.928387e-01 0.331525e+00
0.885321e+01 0.777019e+01 0.676038e+01 0.112435e+01 0.919784e+01 0.111142e+00 0.374463e+00
0.955923e+01 0.820477e+01 0.713176e+01 0.119686e+01 0.992063e+01 0.131626e+00 0.417478e+00
0.102994e+02 0.862795e+01 0.744738e+01 0.126839e+01 0.106782e+02 0.154332e+00 0.459920e+00
0.110750e+02 0.903784e+01 0.770508e+01 0.133865e+01 0.114719e+02 0.179272e+00 0.501208e+00
0.118874e+02 0.943288e+01 0.790479e+01 0.140728e+01 0.123028e+02 0.206419e+00 0.540853e+00
0.127376e+02 0.981188e+01 0.804815e+01 0.147393e+01 0.131723e+02 0.235710e+00 0.578469e+00
0.136269e+02 0.101740e+02 0.813822e+01 0.153822e+01 0.140815e+02 0.267040e+00 0.613776e+00
0.145565e+02 0.105189e+02 0.817909e+01 0.159981e+01 0.150315e+02 0.300265e+00 0.646593e+00
0.155276e+02 0.108463e+02 0.817555e+01 0.165836e+01 0.160236e+02 0.335203e+00 0.676830e+00
0.165412e+02 0.111563e+02 0.813277e+01 0.171358e+01 0.170588e+02 0.371640e+00 0.704473e+00
0.175985e+02 0.114493e+02 0.805607e+01 0.176525e+01 0.181382e+02 0.409333e+00 0.729568e+00
0.187005e+02 0.117258e+02 0.795074e+01 0.181320e+01 0.192629e+02 0.448015e+00 0.752208e+00
0.198484e+02 0.119864e+02 0.782186e+01 0.185733e+01 0.204339e+02 0.487408e+00 0.772520e+00
0.210430e+02 0.122319e+02 0.767421e+01 0.189759e+01 0.216522e+02 0.527225e+00 0.790649e+00
0.222855e+02 0.124632e+02 0.751222e+01 0.193401e+01 0.229187e+02 0.567176e+00 0.806752e+00
0.235766e+02 0.126811e+02 0.733988e+01 0.196666e+01 0.242345e+02 0.606982e+00 0.820992e+00
0.249175e+02 0.128864e+02 0.716075e+01 0.199564e+01 0.256004e+02 0.646371e+00 0.833528e+00
0.263089e+02 0.130801e+02 0.697795e+01 0.202110e+01 0.270173e+02 0.685094e+00 0.844516e+00
0.277517e+02 0.132630e+02 0.679417e+01 0.204319e+01 0.284861e+02 0.722917e+00 0.854099e+00
0.292467e+02 0.134359e+02 0.661168e+01 0.206210e+01 0.300074e+02 0.759635e+00 0.862416e+00
0.307948e+02 0.135997e+02 0.643234e+01 0.207800e+01 0.315822e+02 0.795066e+00 0.869591e+00
0.323967e+02 0.137552e+02 0.625768e+01 0.209108e+01 0.332112e+02 0.829055e+00 0.875740e+00
0.340531e+02 0.139030e+02 0.608885e+01 0.210149e+01 0.348950e+02 0.861478e+00 0.880970e+00
0.357647e+02 0.140438e+02 0.592677e+01 0.210941e+01 0.366344e+02 0.892235e+00 0.885377e+00
0.375322e+02 0.141784e+02 0.577206e+01 0.211501e+01 0.384300e+02 0.921254e+00 0.889045e+00
0.393562e+02 0.143073e+02 0.562512e+01 0.211843e+01 0.402823e+02 0.948488e+00 0.892052e+00
0.412372e+02 0.144310e+02 0.548614e+01 0.211984e+01 0.421920e+02 0.973911e+00 0.894469e+00
0.431758e+02 0.145502e+02 0.535519e+01 0.211935e+01 0.441596e+02 0.997516e+00 0.896359e+00
0.451726e+02 0.146652e+02 0.523220e+01 0.211710e+01 0.461856e+02 0.101931e+01 0.897782e+00
0.472280e+02 0.147764e+02 0.511701e+01 0.211319e+01 0.482704e+02 0.103933e+01 0.898788e+00
0.493425e+02 0.148844e+02 0.500939e+01 0.210774e+01 0.504145e+02 0.105762e+01 0.899423e+00
0.515164e+02 0.149894e+02 0.490906e+01 0.210086e+01 0.526183e+02 0.107421e+01 0.899727e+00
0.537502e+02 0.150917e+02 0.481573e+01 0.209268e+01 0.548821e+02 0.108918e+01 0.899733e+00
0.560442e+02 0.151916e+02 0.472904e+01 0.208332e+01 0.572062e+02 0.110261e+01 0.899471e+00
0.583986e+02 0.152893e+02 0.464864e+01 0.207294e+01 0.595910e+02 0.111457e+01 0.898965e+00
0.608139e+02 0.153851e+02 0.457413e+01 0.206163e+01 0.620367e+02 0.112514e+01 0.898238e+00
0.632901e+02 0.154791e+02 0.450507e+01 0.204952e+01 0.645435e+02 0.113441e+01 0.897309e+00
