y+ u_mean uu+ ww+ y+ vv+ -uv+ -uv/urmsvrms nu_t+   
0.200568e+00 0.201039e+00 0.530611e-02 0.154847e-02 0.401136e+00 0.191802e-05 0.489407e-04 0.239383e+00 0.489390e-04
0.614414e+00 0.614899e+00 0.494620e-01 0.125404e-01 0.827693e+00 0.286340e-04 0.433776e-03 0.268708e+00 0.434959e-03
0.105445e+01 0.105374e+01 0.145128e+00 0.331586e-01 0.128122e+01 0.142218e-03 0.162600e-02 0.293309e+00 0.163654e-02
0.152227e+01 0.151855e+01 0.301133e+00 0.622227e-01 0.176333e+01 0.445343e-03 0.426359e-02 0.317100e+00 0.431431e-02
0.201955e+01 0.200998e+01 0.526372e+00 0.984787e-01 0.227577e+01 0.107916e-02 0.914668e-02 0.340434e+00 0.932854e-02
0.254805e+01 0.252817e+01 0.828523e+00 0.140636e+00 0.282032e+01 0.221923e-02 0.171987e-01 0.363038e+00 0.177414e-01
0.310962e+01 0.307256e+01 0.121231e+01 0.187426e+00 0.339891e+01 0.406990e-02 0.293879e-01 0.384479e+00 0.308054e-01
0.370622e+01 0.364172e+01 0.167757e+01 0.237669e+00 0.401353e+01 0.685768e-02 0.466146e-01 0.404326e+00 0.499455e-01
0.433992e+01 0.423315e+01 0.221767e+01 0.290346e+00 0.466630e+01 0.108243e-01 0.695805e-01 0.422202e+00 0.767433e-01
0.501286e+01 0.484329e+01 0.281869e+01 0.344641e+00 0.535942e+01 0.162202e-01 0.986639e-01 0.437809e+00 0.112931e+00
0.572732e+01 0.546748e+01 0.345983e+01 0.399950e+00 0.609522e+01 0.232974e-01 0.133828e+00 0.450948e+00 0.160402e+00
0.648567e+01 0.610020e+01 0.411510e+01 0.455869e+00 0.687612e+01 0.323041e-01 0.174583e+00 0.461510e+00 0.221232e+00
0.729039e+01 0.673523e+01 0.475604e+01 0.512126e+00 0.770467e+01 0.434785e-01 0.220010e+00 0.469480e+00 0.297716e+00
0.814410e+01 0.736612e+01 0.535482e+01 0.568518e+00 0.858353e+01 0.570416e-01 0.268852e+00 0.474932e+00 0.392403e+00
0.904950e+01 0.798644e+01 0.588720e+01 0.624830e+00 0.951547e+01 0.731894e-01 0.319636e+00 0.478027e+00 0.508132e+00
0.100094e+02 0.859028e+01 0.633458e+01 0.680782e+00 0.105034e+02 0.920807e-01 0.370826e+00 0.479003e+00 0.648053e+00
0.110268e+02 0.917245e+01 0.668520e+01 0.735986e+00 0.115503e+02 0.113826e+00 0.420960e+00 0.478163e+00 0.815635e+00
0.121048e+02 0.972879e+01 0.693411e+01 0.789956e+00 0.126593e+02 0.138471e+00 0.468768e+00 0.475859e+00 0.101468e+01
0.132464e+02 0.102562e+02 0.708244e+01 0.842115e+00 0.138336e+02 0.165986e+00 0.513239e+00 0.472467e+00 0.124926e+01
0.144551e+02 0.107528e+02 0.713611e+01 0.891837e+00 0.150766e+02 0.196254e+00 0.553654e+00 0.468363e+00 0.152372e+01
0.157342e+02 0.112175e+02 0.710439e+01 0.938486e+00 0.163918e+02 0.229059e+00 0.589581e+00 0.463908e+00 0.184263e+01
0.170873e+02 0.116505e+02 0.699860e+01 0.981465e+00 0.177827e+02 0.264093e+00 0.620826e+00 0.459418e+00 0.221060e+01
0.185178e+02 0.120523e+02 0.683106e+01 0.102026e+01 0.192530e+02 0.300953e+00 0.647395e+00 0.455161e+00 0.263221e+01
0.200297e+02 0.124241e+02 0.661418e+01 0.105451e+01 0.208063e+02 0.339155e+00 0.669436e+00 0.451341e+00 0.311177e+01
0.216265e+02 0.127676e+02 0.636004e+01 0.108401e+01 0.224467e+02 0.378153e+00 0.687185e+00 0.448099e+00 0.365289e+01
0.233122e+02 0.130847e+02 0.607990e+01 0.110874e+01 0.241778e+02 0.417352e+00 0.700931e+00 0.445514e+00 0.425808e+01
0.250908e+02 0.133775e+02 0.578388e+01 0.112891e+01 0.260038e+02 0.456137e+00 0.710978e+00 0.443613e+00 0.492789e+01
0.269661e+02 0.136481e+02 0.548074e+01 0.114482e+01 0.279285e+02 0.493888e+00 0.717626e+00 0.442380e+00 0.565982e+01
0.289423e+02 0.138986e+02 0.517773e+01 0.115691e+01 0.299560e+02 0.529988e+00 0.721159e+00 0.441773e+00 0.644730e+01
0.310232e+02 0.141314e+02 0.488051e+01 0.116560e+01 0.320903e+02 0.563858e+00 0.721848e+00 0.441736e+00 0.727889e+01
0.332128e+02 0.143485e+02 0.459333e+01 0.117121e+01 0.343354e+02 0.594962e+00 0.719950e+00 0.442202e+00 0.813880e+01
0.355152e+02 0.145523e+02 0.431932e+01 0.117394e+01 0.366951e+02 0.622834e+00 0.715716e+00 0.443100e+00 0.900828e+01
0.379343e+02 0.147444e+02 0.406059e+01 0.117392e+01 0.391735e+02 0.647096e+00 0.709377e+00 0.444359e+00 0.986713e+01
0.404738e+02 0.149270e+02 0.381806e+01 0.117115e+01 0.417741e+02 0.667488e+00 0.701131e+00 0.445906e+00 0.106933e+02
0.431374e+02 0.151016e+02 0.359163e+01 0.116549e+01 0.445007e+02 0.683872e+00 0.691145e+00 0.447671e+00 0.114646e+02
