y+ u_mean uu+ ww+ y+ vv+ -uv+ -uv/urmsvrms nu_t+ y+ Diss. Prod. Mole_Diff. vel_p_grad. Turb_Diff.
0.147713e+00 0.148332e+00 0.336567e-02 0.127879e-02 0.295426e+00 0.878054e-06 0.247598e-04 0.224835e+00 0.246758e-04 0.147713e+00 -0.207745e+00 0.598610e-05 0.204798e+00 0.249189e-02 0.982625e-05
0.452484e+00 0.454141e+00 0.313401e-01 0.107600e-01 0.609542e+00 0.137309e-04 0.219489e-03 0.246427e+00 0.218961e-03 0.452484e+00 -0.199053e+00 0.992647e-04 0.192200e+00 0.642929e-02 0.158082e-03
0.778054e+00 0.780496e+00 0.922368e-01 0.292917e-01 0.946566e+00 0.713003e-04 0.832436e-03 0.265254e+00 0.831652e-03 0.778054e+00 -0.192419e+00 0.479094e-03 0.181414e+00 0.961463e-02 0.745603e-03
0.112872e+01 0.113149e+01 0.193258e+00 0.567689e-01 0.131087e+01 0.235053e-03 0.223424e-02 0.284144e+00 0.223735e-02 0.112872e+01 -0.186678e+00 0.145075e-02 0.170791e+00 0.120945e-01 0.218825e-02
0.150891e+01 0.151116e+01 0.343549e+00 0.931118e-01 0.170696e+01 0.603885e-03 0.496144e-02 0.303514e+00 0.498705e-02 0.150891e+01 -0.181408e+00 0.345809e-02 0.158919e+00 0.139119e-01 0.498465e-02
0.192320e+01 0.192332e+01 0.553935e+00 0.138152e+00 0.213944e+01 0.132409e-02 0.975603e-02 0.323283e+00 0.986503e-02 0.192320e+01 -0.176187e+00 0.711504e-02 0.144230e+00 0.151147e-01 0.960983e-02
0.237624e+01 0.237135e+01 0.836139e+00 0.191544e+00 0.261303e+01 0.259917e-02 0.175860e-01 0.343156e+00 0.179470e-01 0.237624e+01 -0.170626e+00 0.132122e-01 0.125241e+00 0.157605e-01 0.163047e-01
0.287277e+01 0.285788e+01 0.120125e+01 0.252704e+00 0.313250e+01 0.469758e-02 0.296252e-01 0.362711e+00 0.306529e-01 0.287277e+01 -0.164460e+00 0.226698e-01 0.100975e+00 0.159193e-01 0.247883e-01
0.341757e+01 0.338443e+01 0.165732e+01 0.320826e+00 0.370264e+01 0.795671e-02 0.471720e-01 0.381455e+00 0.497909e-01 0.341757e+01 -0.157662e+00 0.364053e-01 0.714880e-01 0.156706e-01 0.339952e-01
0.401547e+01 0.395087e+01 0.220622e+01 0.394923e+00 0.432829e+01 0.127814e-01 0.714911e-01 0.398871e+00 0.775905e-01 0.401547e+01 -0.150529e+00 0.550973e-01 0.382497e-01 0.150965e-01 0.420123e-01
0.467128e+01 0.455513e+01 0.284061e+01 0.473942e+00 0.501426e+01 0.196356e-01 0.103590e+00 0.414456e+00 0.116732e+00 0.467128e+01 -0.143662e+00 0.788720e-01 0.414533e-02 0.142704e-01 0.463816e-01
0.538979e+01 0.519275e+01 0.354167e+01 0.556871e+00 0.576532e+01 0.290292e-01 0.143966e+00 0.427772e+00 0.170382e+00 0.538979e+01 -0.137803e+00 0.106996e+00 0.270843e-01 0.132469e-01 0.448005e-01
0.617576e+01 0.585686e+01 0.427923e+01 0.642831e+00 0.658620e+01 0.414972e-01 0.192396e+00 0.438475e+00 0.242239e+00 0.617576e+01 -0.133568e+00 0.137718e+00 0.518428e-01 0.120543e-01 0.360055e-01
0.703388e+01 0.653841e+01 0.501460e+01 0.731081e+00 0.748155e+01 0.575756e-01 0.247836e+00 0.446354e+00 0.336600e+00 0.703388e+01 -0.131198e+00 0.168399e+00 0.677283e-01 0.106978e-01 0.204373e-01
0.796873e+01 0.722674e+01 0.570589e+01 0.820953e+00 0.845591e+01 0.777716e-01 0.308482e+00 0.451354e+00 0.458425e+00 0.796873e+01 -0.130445e+00 0.195962e+00 0.741655e-01 0.917245e-02 0.308376e-03
0.898480e+01 0.791047e+01 0.631437e+01 0.911720e+00 0.951370e+01 0.102527e+00 0.371995e+00 0.453596e+00 0.613399e+00 0.898480e+01 -0.130663e+00 0.217552e+00 0.723646e-01 0.748384e-02 -0.210139e-01
0.100865e+02 0.857858e+01 0.681008e+01 0.100247e+01 0.106592e+02 0.132179e+00 0.435831e+00 0.453370e+00 0.807959e+00 0.100865e+02 -0.131043e+00 0.231190e+00 0.647027e-01 0.566803e-02 -0.400357e-01
0.112779e+02 0.922127e+01 0.717525e+01 0.109200e+01 0.118966e+02 0.166910e+00 0.497595e+00 0.451111e+00 0.104927e+01 0.112779e+02 -0.130860e+00 0.236143e+00 0.538809e-01 0.380080e-02 -0.541105e-01
0.125632e+02 0.983078e+01 0.740480e+01 0.117888e+01 0.132298e+02 0.206706e+00 0.555320e+00 0.447356e+00 0.134513e+01 0.125632e+02 -0.129644e+00 0.232928e+00 0.422247e-01 0.199135e-02 -0.619787e-01
0.139462e+02 0.104017e+02 0.750467e+01 0.126152e+01 0.146626e+02 0.251324e+00 0.607622e+00 0.442670e+00 0.170384e+01 0.139462e+02 -0.127221e+00 0.222994e+00 0.313295e-01 0.361904e-03 -0.637637e-01
0.154305e+02 0.109311e+02 0.748881e+01 0.133843e+01 0.161985e+02 0.300279e+00 0.653727e+00 0.437597e+00 0.213396e+01 0.154305e+02 -0.123635e+00 0.208258e+00 0.220414e-01 -0.978670e-03 -0.605722e-01
0.170197e+02 0.114180e+02 0.737590e+01 0.140833e+01 0.178409e+02 0.352851e+00 0.693386e+00 0.432599e+00 0.264398e+01 0.170197e+02 -0.119070e+00 0.190669e+00 0.146336e-01 -0.195707e-02 -0.539628e-01
0.187170e+02 0.118631e+02 0.718661e+01 0.147030e+01 0.195930e+02 0.408134e+00 0.726754e+00 0.428032e+00 0.324182e+01 0.187170e+02 -0.113751e+00 0.171907e+00 0.903132e-02 -0.254721e-02 -0.454943e-01
0.205253e+02 0.122684e+02 0.694144e+01 0.152390e+01 0.214576e+02 0.465083e+00 0.754240e+00 0.424134e+00 0.393420e+01 0.205253e+02 -0.107903e+00 0.153256e+00 0.499575e-02 -0.276979e-02 -0.364510e-01
0.224475e+02 0.126370e+02 0.665921e+01 0.156906e+01 0.234373e+02 0.522590e+00 0.776398e+00 0.421036e+00 0.472567e+01 0.224475e+02 -0.101732e+00 0.135590e+00 0.223146e-02 -0.268188e-02 -0.277480e-01
0.244860e+02 0.129718e+02 0.635620e+01 0.160608e+01 0.255346e+02 0.579546e+00 0.793828e+00 0.418780e+00 0.561761e+01 0.244860e+02 -0.954149e-01 0.119422e+00 0.439498e-03 -0.236260e-02 -0.199527e-01
0.266431e+02 0.132767e+02 0.604574e+01 0.163549e+01 0.277516e+02 0.634902e+00 0.807133e+00 0.417349e+00 0.660726e+01 0.266431e+02 -0.890978e-01 0.104999e+00 0.636871e-03 -0.190048e-02 -0.133400e-01
