y+ u_mean uu+ ww+ y+ vv+ -uv+ -uv/urmsvrms nu_t+ y+ Diss.   
0.152332e+00 0.151720e+00 0.376660e-02 0.155071e-02 0.304663e+00 0.111429e-05 0.282497e-04 0.215844e+00 0.283781e-04 0.152332e+00 -0.322809e+00
0.465121e+00 0.463094e+00 0.348197e-01 0.129202e-01 0.625579e+00 0.169712e-04 0.247248e-03 0.237550e+00 0.248552e-03 0.465121e+00 -0.320198e+00
0.796417e+00 0.792652e+00 0.101571e+00 0.348177e-01 0.967256e+00 0.862295e-04 0.926842e-03 0.256553e+00 0.932873e-03 0.796417e+00 -0.318897e+00
0.115078e+01 0.114472e+01 0.211039e+00 0.668728e-01 0.133430e+01 0.278941e-03 0.246057e-02 0.275499e+00 0.248186e-02 0.115078e+01 -0.317861e+00
0.153286e+01 0.152352e+01 0.372258e+00 0.108826e+00 0.173141e+01 0.704829e-03 0.540783e-02 0.294765e+00 0.547439e-02 0.153286e+01 -0.316233e+00
0.194735e+01 0.193298e+01 0.595917e+00 0.160381e+00 0.216330e+01 0.152298e-02 0.105296e-01 0.314253e+00 0.107224e-01 0.194735e+01 -0.313058e+00
0.239902e+01 0.237653e+01 0.893456e+00 0.221083e+00 0.263475e+01 0.295129e-02 0.188026e-01 0.333667e+00 0.193246e-01 0.239902e+01 -0.307420e+00
0.289262e+01 0.285680e+01 0.127542e+01 0.290254e+00 0.315050e+01 0.527364e-02 0.313901e-01 0.352595e+00 0.327135e-01 0.289262e+01 -0.298694e+00
0.343289e+01 0.337521e+01 0.174898e+01 0.366979e+00 0.371528e+01 0.884294e-02 0.495520e-01 0.370567e+00 0.526905e-01 0.343289e+01 -0.286846e+00
0.402453e+01 0.393161e+01 0.231493e+01 0.450158e+00 0.433378e+01 0.140782e-01 0.744843e-01 0.387103e+00 0.814523e-01 0.402453e+01 -0.272618e+00
0.467219e+01 0.452386e+01 0.296482e+01 0.538601e+00 0.501060e+01 0.214554e-01 0.107102e+00 0.401755e+00 0.121615e+00 0.467219e+01 -0.257463e+00
0.538043e+01 0.514759e+01 0.367918e+01 0.631148e+00 0.575026e+01 0.314910e-01 0.147811e+00 0.414149e+00 0.176243e+00 0.538043e+01 -0.243163e+00
0.615372e+01 0.579612e+01 0.442802e+01 0.726755e+00 0.655717e+01 0.447213e-01 0.196320e+00 0.424007e+00 0.248899e+00 0.615372e+01 -0.231257e+00
0.699640e+01 0.646079e+01 0.517385e+01 0.824523e+00 0.743563e+01 0.616757e-01 0.251576e+00 0.431176e+00 0.343702e+00 0.699640e+01 -0.222539e+00
0.791270e+01 0.713149e+01 0.587670e+01 0.923644e+00 0.838978e+01 0.828462e-01 0.311831e+00 0.435644e+00 0.465398e+00 0.791270e+01 -0.216839e+00
0.890670e+01 0.779750e+01 0.650009e+01 0.102330e+01 0.942363e+01 0.108652e+00 0.374864e+00 0.437547e+00 0.619408e+00 0.890670e+01 -0.213194e+00
0.998233e+01 0.844846e+01 0.701593e+01 0.112256e+01 0.105410e+02 0.139399e+00 0.438282e+00 0.437165e+00 0.811865e+00 0.998233e+01 -0.210278e+00
0.111433e+02 0.907523e+01 0.740741e+01 0.122026e+01 0.117457e+02 0.175238e+00 0.499838e+00 0.434902e+00 0.104958e+01 0.111433e+02 -0.206865e+00
0.123933e+02 0.967052e+01 0.766942e+01 0.131508e+01 0.130410e+02 0.216126e+00 0.557682e+00 0.431240e+00 0.134000e+01 0.123933e+02 -0.202130e+00
0.137357e+02 0.102292e+02 0.780690e+01 0.140559e+01 0.144305e+02 0.261797e+00 0.610503e+00 0.426692e+00 0.169106e+01 0.137357e+02 -0.195724e+00
0.151738e+02 0.107483e+02 0.783219e+01 0.149042e+01 0.159171e+02 0.311759e+00 0.657550e+00 0.421749e+00 0.211099e+01 0.151738e+02 -0.187687e+00
0.167105e+02 0.112270e+02 0.776203e+01 0.156836e+01 0.175038e+02 0.365305e+00 0.698564e+00 0.416831e+00 0.260807e+01 0.167105e+02 -0.178284e+00
0.183486e+02 0.116658e+02 0.761509e+01 0.163856e+01 0.191935e+02 0.421560e+00 0.733661e+00 0.412271e+00 0.319023e+01 0.183486e+02 -0.167869e+00
0.200910e+02 0.120665e+02 0.740999e+01 0.170048e+01 0.209885e+02 0.479532e+00 0.763208e+00 0.408296e+00 0.386453e+01 0.200910e+02 -0.156800e+00
0.219399e+02 0.124316e+02 0.716401e+01 0.175390e+01 0.228913e+02 0.538183e+00 0.787713e+00 0.405044e+00 0.463653e+01 0.219399e+02 -0.145396e+00
0.238976e+02 0.127642e+02 0.689232e+01 0.179894e+01 0.249039e+02 0.596494e+00 0.807739e+00 0.402570e+00 0.550943e+01 0.238976e+02 -0.133941e+00
0.259662e+02 0.130675e+02 0.660764e+01 0.183591e+01 0.270284e+02 0.653512e+00 0.823858e+00 0.400870e+00 0.648352e+01 0.259662e+02 -0.122678e+00
0.281474e+02 0.133447e+02 0.632025e+01 0.186527e+01 0.292664e+02 0.708387e+00 0.836613e+00 0.399900e+00 0.755599e+01 0.281474e+02 -0.111802e+00
0.304429e+02 0.135988e+02 0.603818e+01 0.188754e+01 0.316193e+02 0.760409e+00 0.846499e+00 0.399581e+00 0.872026e+01 0.304429e+02 -0.101460e+00
0.328540e+02 0.138329e+02 0.576729e+01 0.190334e+01 0.340886e+02 0.809017e+00 0.853944e+00 0.399817e+00 0.996534e+01 0.328540e+02 -0.917657e-01
