y+,u_mean,uu+,ww+,y+2,vv+,-uv+,-uv/urmsvrms,nu_t+,Diss.,Prod.,Mole_Diff.,vel_p_grad.,Turb_Diff.
1.47713E-01,1.48332E-01,3.36567E-03,1.27879E-03,2.95426E-01,8.78054E-07,2.47598E-05,2.24835E-01,2.46758E-05,-2.07745E-01,5.98610E-06,2.04798E-01,2.49189E-03,9.82625E-06
4.52484E-01,4.54141E-01,3.13401E-02,1.07600E-02,6.09542E-01,1.37309E-05,2.19489E-04,2.46427E-01,2.18961E-04,-1.99053E-01,9.92647E-05,1.92200E-01,6.42929E-03,1.58082E-04
7.78054E-01,7.80496E-01,9.22368E-02,2.92917E-02,9.46566E-01,7.13003E-05,8.32436E-04,2.65254E-01,8.31652E-04,-1.92419E-01,4.79094E-04,1.81414E-01,9.61463E-03,7.45603E-04
1.12872E+00,1.13149E+00,1.93258E-01,5.67689E-02,1.31087E+00,2.35053E-04,2.23424E-03,2.84144E-01,2.23735E-03,-1.86678E-01,1.45075E-03,1.70791E-01,1.20945E-02,2.18825E-03
1.50891E+00,1.51116E+00,3.43549E-01,9.31118E-02,1.70696E+00,6.03885E-04,4.96144E-03,3.03514E-01,4.98705E-03,-1.81408E-01,3.45809E-03,1.58919E-01,1.39119E-02,4.98465E-03
1.92320E+00,1.92332E+00,5.53935E-01,1.38152E-01,2.13944E+00,1.32409E-03,9.75603E-03,3.23283E-01,9.86503E-03,-1.76187E-01,7.11504E-03,1.44230E-01,1.51147E-02,9.60983E-03
2.37624E+00,2.37135E+00,8.36139E-01,1.91544E-01,2.61303E+00,2.59917E-03,1.75860E-02,3.43156E-01,1.79470E-02,-1.70626E-01,1.32122E-02,1.25241E-01,1.57605E-02,1.63047E-02
2.87277E+00,2.85788E+00,1.20125E+00,2.52704E-01,3.13250E+00,4.69758E-03,2.96252E-02,3.62711E-01,3.06529E-02,-1.64460E-01,2.26698E-02,1.00975E-01,1.59193E-02,2.47883E-02
3.41757E+00,3.38443E+00,1.65732E+00,3.20826E-01,3.70264E+00,7.95671E-03,4.71720E-02,3.81455E-01,4.97909E-02,-1.57662E-01,3.64053E-02,7.14880E-02,1.56706E-02,3.39952E-02
4.01547E+00,3.95087E+00,2.20622E+00,3.94923E-01,4.32829E+00,1.27814E-02,7.14911E-02,3.98871E-01,7.75905E-02,-1.50529E-01,5.50973E-02,3.82497E-02,1.50965E-02,4.20123E-02
4.67128E+00,4.55513E+00,2.84061E+00,4.73942E-01,5.01426E+00,1.96356E-02,1.03590E-01,4.14456E-01,1.16732E-01,-1.43662E-01,7.88720E-02,4.14533E-03,1.42704E-02,4.63816E-02
5.38979E+00,5.19275E+00,3.54167E+00,5.56871E-01,5.76532E+00,2.90292E-02,1.43966E-01,4.27772E-01,1.70382E-01,-1.37803E-01,1.06996E-01,2.70843E-02,1.32469E-02,4.48005E-02
6.17576E+00,5.85686E+00,4.27923E+00,6.42831E-01,6.58620E+00,4.14972E-02,1.92396E-01,4.38475E-01,2.42239E-01,-1.33568E-01,1.37718E-01,5.18428E-02,1.20543E-02,3.60055E-02
7.03388E+00,6.53841E+00,5.01460E+00,7.31081E-01,7.48155E+00,5.75756E-02,2.47836E-01,4.46354E-01,3.36600E-01,-1.31198E-01,1.68399E-01,6.77283E-02,1.06978E-02,2.04373E-02
7.96873E+00,7.22674E+00,5.70589E+00,8.20953E-01,8.45591E+00,7.77716E-02,3.08482E-01,4.51354E-01,4.58425E-01,-1.30445E-01,1.95962E-01,7.41655E-02,9.17245E-03,3.08376E-04
8.98480E+00,7.91047E+00,6.31437E+00,9.11720E-01,9.51370E+00,1.02527E-01,3.71995E-01,4.53596E-01,6.13399E-01,-1.30663E-01,2.17552E-01,7.23646E-02,7.48384E-03,-2.10139E-02
1.00865E+01,8.57858E+00,6.81008E+00,1.00247E+00,1.06592E+01,1.32179E-01,4.35831E-01,4.53370E-01,8.07959E-01,-1.31043E-01,2.31190E-01,6.47027E-02,5.66803E-03,-4.00357E-02
1.12779E+01,9.22127E+00,7.17525E+00,1.09200E+00,1.18966E+01,1.66910E-01,4.97595E-01,4.51111E-01,1.04927E+00,-1.30860E-01,2.36143E-01,5.38809E-02,3.80080E-03,-5.41105E-02
1.25632E+01,9.83078E+00,7.40480E+00,1.17888E+00,1.32298E+01,2.06706E-01,5.55320E-01,4.47356E-01,1.34513E+00,-1.29644E-01,2.32928E-01,4.22247E-02,1.99135E-03,-6.19787E-02
1.39462E+01,1.04017E+01,7.50467E+00,1.26152E+00,1.46626E+01,2.51324E-01,6.07622E-01,4.42670E-01,1.70384E+00,-1.27221E-01,2.22994E-01,3.13295E-02,3.61904E-04,-6.37637E-02
