y+,u_mean,uu+,ww+,y+2,vv+,-uv+,-uv/urmsvrms,nu_t+,Diss.,Prod.,Mole_Diff.,vel_p_grad.,Turb_Diff.,u_mean2,uu+2
0.147713,0.148332,0.00336567,0.00127879,0.295426,8.78054e-07,2.47598e-05,0.224835,2.46758e-05,-0.207745,5.9861e-06,0.204798,0.00249189,9.82625e-06,0.2965480862319577,0.01692400389197135
0.452484,0.454141,0.0313401,0.01076,0.609542,1.37309e-05,0.000219489,0.246427,0.000218961,-0.199053,9.92647e-05,0.1922,0.00642929,0.000158082,0.6115776913106244,0.06071723520471788
0.778054,0.780496,0.0922368,0.0292917,0.946566,7.13003e-05,0.000832436,0.265254,0.000831652,-0.192419,0.000479094,0.181414,0.00961463,0.000745603,0.9491656198890113,0.14078238027981044
1.12872,1.13149,0.193258,0.0567689,1.31087,0.000235053,0.00223424,0.284144,0.00223735,-0.186678,0.00145075,0.170791,0.0120945,0.00218825,1.3133908666719274,0.2652628019411347
1.50891,1.51116,0.343549,0.0931118,1.70696,0.000603885,0.00496144,0.303514,0.00498705,-0.181408,0.00345809,0.158919,0.0139119,0.00498465,1.7081917603610997,0.4441233496101764
1.9232,1.92332,0.553935,0.138152,2.13944,0.00132409,0.00975603,0.323283,0.00986503,-0.176187,0.00711504,0.14423,0.0151147,0.00960983,2.1371686826770264,0.6886334658308316
2.37624,2.37135,0.836139,0.191544,2.61303,0.00259917,0.017586,0.343156,0.017947,-0.170626,0.0132122,0.125241,0.0157605,0.0163047,2.6033711038607943,1.0102566438281675
2.87277,2.85788,1.20125,0.252704,3.1325,0.00469758,0.0296252,0.362711,0.0306529,-0.16446,0.0226698,0.100975,0.0159193,0.0247883,3.1089094263950074,1.4186785262481643
3.41757,3.38443,1.65732,0.320826,3.70264,0.00795671,0.047172,0.381455,0.0497909,-0.157662,0.0364053,0.071488,0.0156706,0.0339952,3.654500330824553,1.9190275146345546
4.01547,3.95087,2.20622,0.394923,4.32829,0.0127814,0.0714911,0.398871,0.0775905,-0.150529,0.0550973,0.0382497,0.0150965,0.0420123,4.2391007576889645,2.5088227047468017
4.67128,4.55513,2.84061,0.473942,5.01426,0.0196356,0.10359,0.414456,0.116732,-0.143662,0.078872,0.00414533,0.0142704,0.0463816,4.85949724276628,3.1752602606783484
5.38979,5.19275,3.54167,0.556871,5.76532,0.0290292,0.143966,0.427772,0.170382,-0.137803,0.106996,0.0270843,0.0132469,0.0448005,5.510056294515058,3.8940701002582796
