      y+          U+           u'+             v'+            w'+           u'v'+
0.0000000e+00 0.0000000e+00 1.0111586e-06 0.0000000e+00 1.3290643e-06 0.0000000e+00
3.2310688e-01 3.2319584e-01 1.3911827e-01 1.6528346e-03 9.0577297e-02 -3.7516984e-05
7.6810521e-01 7.6813996e-01 3.2939473e-01 7.1974350e-03 2.0271342e-01 -5.1762792e-04
1.3311760e+00 1.3303102e+00 5.6825596e-01 1.9259922e-02 3.2896447e-01 -2.7726910e-03
2.0086989e+00 2.0036254e+00 8.5100061e-01 3.9407104e-02 4.6039981e-01 -9.6282521e-03
2.7972393e+00 2.7782888e+00 1.1679206e+00 6.8197615e-02 5.8981264e-01 -2.5468061e-02
3.6935465e+00 3.6382773e+00 1.5022064e+00 1.0526115e-01 7.1200907e-01 -5.5169128e-02
4.6945324e+00 4.5599351e+00 1.8315784e+00 1.4956941e-01 8.2412964e-01 -1.0209205e-01
5.7972631e+00 5.5131626e+00 2.1335297e+00 1.9975683e-01 9.2529142e-01 -1.6630483e-01
6.9989414e+00 6.4652743e+00 2.3908584e+00 2.5437197e-01 1.0158942e+00 -2.4423917e-01
8.2969055e+00 7.3860073e+00 2.5946360e+00 3.1202146e-01 1.0968486e+00 -3.2988226e-01
9.6886225e+00 8.2516584e+00 2.7439492e+00 3.7141472e-01 1.1690352e+00 -4.1668653e-01
1.1171674e+01 9.0470524e+00 2.8436143e+00 4.3136680e-01 1.2331027e+00 -4.9917758e-01
1.2743752e+01 9.7652998e+00 2.9014187e+00 4.9080151e-01 1.2895085e+00 -5.7375556e-01
1.4402650e+01 1.0406112e+01 2.9259164e+00 5.4877132e-01 1.3386439e+00 -6.3870496e-01
1.6146254e+01 1.0973639e+01 2.9251103e+00 6.0448307e-01 1.3809458e+00 -6.9376546e-01
1.7972548e+01 1.1474500e+01 2.9058640e+00 6.5731806e-01 1.4169308e+00 -7.3957956e-01
1.9879599e+01 1.1916298e+01 2.8737779e+00 7.0683640e-01 1.4471892e+00 -7.7723390e-01
2.1865557e+01 1.2306684e+01 2.8332808e+00 7.5276685e-01 1.4723475e+00 -8.0794537e-01
2.3928642e+01 1.2652815e+01 2.7877965e+00 7.9498452e-01 1.4930375e+00 -8.3288670e-01
2.6067150e+01 1.2961114e+01 2.7399132e+00 8.3348316e-01 1.5098654e+00 -8.5309947e-01
2.8279442e+01 1.3237202e+01 2.6915414e+00 8.6834562e-01 1.5233810e+00 -8.6946851e-01
3.0563950e+01 1.3485918e+01 2.6440549e+00 8.9971983e-01 1.5340662e+00 -8.8271755e-01
3.2919159e+01 1.3711410e+01 2.5984049e+00 9.2779893e-01 1.5423323e+00 -8.9342767e-01
3.5343616e+01 1.3917205e+01 2.5552185e+00 9.5280260e-01 1.5485202e+00 -9.0206712e-01
3.7835922e+01 1.4106297e+01 2.5148747e+00 9.7496450e-01 1.5529126e+00 -9.0901631e-01
4.0394726e+01 1.4281216e+01 2.4775589e+00 9.9452370e-01 1.5557511e+00 -9.1458374e-01
4.3018726e+01 1.4444091e+01 2.4433055e+00 1.0117177e+00 1.5572391e+00 -9.1901851e-01
4.5706680e+01 1.4596702e+01 2.4120665e+00 1.0267730e+00 1.5575503e+00 -9.2252302e-01
4.8457371e+01 1.4740524e+01 2.3837428e+00 1.0398990e+00 1.5568533e+00 -9.2526448e-01
5.1269638e+01 1.4876784e+01 2.3581855e+00 1.0512890e+00 1.5552994e+00 -9.2738140e-01
5.4142357e+01 1.5006506e+01 2.3351991e+00 1.0611260e+00 1.5530214e+00 -9.2897880e-01
5.7074436e+01 1.5130561e+01 2.3145669e+00 1.0695832e+00 1.5501302e+00 -9.3013680e-01
6.0064827e+01 1.5249685e+01 2.2960701e+00 1.0768194e+00 1.5467126e+00 -9.3092769e-01
6.3112511e+01 1.5364480e+01 2.2794988e+00 1.0829793e+00 1.5428536e+00 -9.3142194e-01
6.6216507e+01 1.5475434e+01 2.2646513e+00 1.0881981e+00 1.5386186e+00 -9.3167597e-01
6.9375870e+01 1.5582944e+01 2.2513435e+00 1.0925981e+00 1.5340569e+00 -9.3172956e-01
7.2589676e+01 1.5687335e+01 2.2393973e+00 1.0962850e+00 1.5292125e+00 -9.3161255e-01
7.5857033e+01 1.5788878e+01 2.2286470e+00 1.0993493e+00 1.5241407e+00 -9.3134475e-01
7.9177078e+01 1.5887806e+01 2.2189348e+00 1.1018684e+00 1.5189019e+00 -9.3093276e-01
8.2548973e+01 1.5984330e+01 2.2101173e+00 1.1039109e+00 1.5135437e+00 -9.3038052e-01
8.5971901e+01 1.6078642e+01 2.2020657e+00 1.1055397e+00 1.5081052e+00 -9.2969483e-01
8.9445084e+01 1.6170895e+01 2.1946886e+00 1.1068134e+00 1.5026213e+00 -9.2889035e-01
9.2967758e+01 1.6261200e+01 2.1879194e+00 1.1077836e+00 1.4971225e+00 -9.2798167e-01
9.6539177e+01 1.6349661e+01 2.1816823e+00 1.1084950e+00 1.4916291e+00 -9.2698449e-01
1.0015862e+02 1.6436384e+01 2.1759062e+00 1.1089836e+00 1.4861571e+00 -9.2590839e-01
1.0382540e+02 1.6521454e+01 2.1705244e+00 1.1092784e+00 1.4807194e+00 -9.2476749e-01
1.0753882e+02 1.6604946e+01 2.1654680e+00 1.1094054e+00 1.4753306e+00 -9.2356855e-01
1.1129823e+02 1.6686926e+01 2.1606855e+00 1.1093897e+00 1.4700009e+00 -9.2231393e-01
1.1510298e+02 1.6767458e+01 2.1561382e+00 1.1092509e+00 1.4647354e+00 -9.2100078e-01
1.1895246e+02 1.6846596e+01 2.1517935e+00 1.1089998e+00 1.4595497e+00 -9.1963810e-01
1.2284605e+02 1.6924393e+01 2.1476159e+00 1.1086439e+00 1.4544549e+00 -9.1824317e-01
1.2678316e+02 1.7000889e+01 2.1435788e+00 1.1081936e+00 1.4494449e+00 -9.1682833e-01
1.3076323e+02 1.7076117e+01 2.1396575e+00 1.1076639e+00 1.4444975e+00 -9.1539007e-01
1.3478569e+02 1.7150118e+01 2.1358180e+00 1.1070734e+00 1.4395976e+00 -9.1391551e-01
1.3884998e+02 1.7222948e+01 2.1320391e+00 1.1064368e+00 1.4347513e+00 -9.1239697e-01
1.4295558e+02 1.7294651e+01 2.1283247e+00 1.1057593e+00 1.4299828e+00 -9.1082835e-01
1.4710197e+02 1.7365265e+01 2.1246734e+00 1.1050421e+00 1.4253123e+00 -9.0920681e-01
1.5128867e+02 1.7434826e+01 2.1210623e+00 1.1042908e+00 1.4207394e+00 -9.0752852e-01
1.5551515e+02 1.7503372e+01 2.1174626e+00 1.1035104e+00 1.4162500e+00 -9.0579206e-01
1.5978094e+02 1.7570932e+01 2.1138680e+00 1.1027024e+00 1.4118384e+00 -9.0400922e-01
1.6408560e+02 1.7637527e+01 2.1102839e+00 1.1018676e+00 1.4074912e+00 -9.0221113e-01
1.6842863e+02 1.7703161e+01 2.1067061e+00 1.1010089e+00 1.4031951e+00 -9.0041202e-01
1.7280962e+02 1.7767864e+01 2.1031284e+00 1.1001310e+00 1.3989367e+00 -8.9860117e-01
1.7722812e+02 1.7831669e+01 2.0995493e+00 1.0992382e+00 1.3947121e+00 -8.9675742e-01
1.8168370e+02 1.7894604e+01 2.0959642e+00 1.0983289e+00 1.3905330e+00 -8.9486814e-01
1.8617595e+02 1.7956684e+01 2.0923624e+00 1.0973983e+00 1.3864211e+00 -8.9292949e-01
1.9070447e+02 1.8017931e+01 2.0887411e+00 1.0964451e+00 1.3823984e+00 -8.9095002e-01
1.9526884e+02 1.8078360e+01 2.0851057e+00 1.0954713e+00 1.3784640e+00 -8.8894361e-01
1.9986873e+02 1.8137993e+01 2.0814629e+00 1.0944787e+00 1.3746110e+00 -8.8691145e-01
2.0450369e+02 1.8196852e+01 2.0778134e+00 1.0934689e+00 1.3708241e+00 -8.8484466e-01
2.0917342e+02 1.8254946e+01 2.0741560e+00 1.0924473e+00 1.3670869e+00 -8.8274288e-01
2.1387750e+02 1.8312277e+01 2.0704787e+00 1.0914223e+00 1.3633810e+00 -8.8062471e-01
2.1861562e+02 1.8368860e+01 2.0667698e+00 1.0903978e+00 1.3596970e+00 -8.7850785e-01
2.2338739e+02 1.8424725e+01 2.0630229e+00 1.0893707e+00 1.3560375e+00 -8.7638551e-01
2.2819252e+02 1.8479906e+01 2.0592415e+00 1.0883342e+00 1.3524159e+00 -8.7423795e-01
2.3303065e+02 1.8534430e+01 2.0554266e+00 1.0872804e+00 1.3488318e+00 -8.7205118e-01
2.3790146e+02 1.8588320e+01 2.0515785e+00 1.0862045e+00 1.3452737e+00 -8.6982936e-01
2.4280464e+02 1.8641590e+01 2.0476992e+00 1.0851080e+00 1.3417408e+00 -8.6757058e-01
2.4773988e+02 1.8694256e+01 2.0437911e+00 1.0839990e+00 1.3382288e+00 -8.6527771e-01
2.5270688e+02 1.8746334e+01 2.0398529e+00 1.0828840e+00 1.3347254e+00 -8.6295682e-01
2.5770532e+02 1.8797834e+01 2.0358832e+00 1.0817631e+00 1.3312330e+00 -8.6061078e-01
2.6273495e+02 1.8848761e+01 2.0318856e+00 1.0806310e+00 1.3277612e+00 -8.5824782e-01
2.6779544e+02 1.8899118e+01 2.0278740e+00 1.0794834e+00 1.3243115e+00 -8.5587239e-01
2.7288654e+02 1.8948923e+01 2.0238457e+00 1.0783216e+00 1.3208873e+00 -8.5347921e-01
2.7800797e+02 1.8998182e+01 2.0198014e+00 1.0771490e+00 1.3174975e+00 -8.5107321e-01
2.8315945e+02 1.9046904e+01 2.0157380e+00 1.0759686e+00 1.3141421e+00 -8.4866250e-01
2.8834073e+02 1.9095091e+01 2.0116460e+00 1.0747819e+00 1.3108138e+00 -8.4625322e-01
2.9355154e+02 1.9142748e+01 2.0075140e+00 1.0735873e+00 1.3075080e+00 -8.4383851e-01
2.9879166e+02 1.9189892e+01 2.0033324e+00 1.0723817e+00 1.3042264e+00 -8.4141725e-01
3.0406079e+02 1.9236528e+01 1.9991095e+00 1.0711641e+00 1.3009681e+00 -8.3898675e-01
3.0935873e+02 1.9282660e+01 1.9948721e+00 1.0699356e+00 1.2977238e+00 -8.3655417e-01
3.1468524e+02 1.9328289e+01 1.9906299e+00 1.0686963e+00 1.2944961e+00 -8.3411807e-01
3.2004004e+02 1.9373428e+01 1.9863774e+00 1.0674430e+00 1.2913005e+00 -8.3167243e-01
3.2542297e+02 1.9418097e+01 1.9821141e+00 1.0661716e+00 1.2881445e+00 -8.2922089e-01
3.3083377e+02 1.9462297e+01 1.9778476e+00 1.0648798e+00 1.2850360e+00 -8.2676429e-01
3.3627219e+02 1.9506050e+01 1.9735664e+00 1.0635688e+00 1.2819692e+00 -8.2428116e-01
3.4173807e+02 1.9549364e+01 1.9692674e+00 1.0622416e+00 1.2789339e+00 -8.2176059e-01
3.4723117e+02 1.9592247e+01 1.9649521e+00 1.0608991e+00 1.2759153e+00 -8.1920314e-01
3.5275128e+02 1.9634705e+01 1.9606185e+00 1.0595427e+00 1.2728879e+00 -8.1660414e-01
3.5829819e+02 1.9676750e+01 1.9562616e+00 1.0581734e+00 1.2698501e+00 -8.1396383e-01
3.6387173e+02 1.9718388e+01 1.9518869e+00 1.0567914e+00 1.2668259e+00 -8.1129777e-01
3.6947168e+02 1.9759604e+01 1.9475024e+00 1.0553983e+00 1.2638302e+00 -8.0861306e-01
3.7509781e+02 1.9800402e+01 1.9431095e+00 1.0539974e+00 1.2608624e+00 -8.0591077e-01
3.8075000e+02 1.9840803e+01 1.9387002e+00 1.0525939e+00 1.2579128e+00 -8.0320495e-01
